LOCALIDADE,CIDADE,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE
Cidade,Ubá,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Cabo de internet arrebentado,350,400,450,500,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),150,200,350,400
Cidade,Rio Pomba,Cabo de internet arrebentado,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,450,300,550,500,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,250,200,200,300
Cidade,Ubá,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,Falta de pagamento da mensalidade,450,400,450,450,Publicidade (Panfletos / Redes Sociais),Indicação,Valor da mensalidade adequado,Promoção,300,200,450,350
Área Rural,Rio Pomba,Roteador desconfigurado,Roteador desconfigurado,Roteador desconfigurado,Roteador desconfigurado,350,300,400,450,Valor da mensalidade adequado,Indicação,Indicação,Indicação,150,150,200,300
Cidade,Rio Pomba,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,450,600,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),250,150,400,450
Área Rural,Mercês,Roteador desconfigurado,Falta de energia no local,Falta de pagamento da mensalidade,Cabo de internet arrebentado,350,500,500,600,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Promoção,Promoção,250,150,200,450
Cidade,Rio Pomba,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de pagamento da mensalidade,350,550,500,500,Promoção,Valor da mensalidade adequado,Indicação,Valor da mensalidade adequado,300,300,450,400
Área Rural,Tabuleiro,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,350,400,500,600,Indicação,Indicação,Valor da mensalidade adequado,Indicação,300,350,350,400
Cidade,Silveirânia,Falta de energia no local,Falta de pagamento da mensalidade,Roteador desconfigurado,Roteador desconfigurado,350,400,400,500,Promoção,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,150,200,400,350
Cidade,Ubá,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Cabo de internet arrebentado,450,500,550,450,Promoção,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,300,350,350,400
