LOCALIDADE,CIDADE,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE
Cidade,Ubá,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,400,400,300,550,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Valor da mensalidade adequado,400,300,250,350
Cidade,Rio Pomba,Roteador desconfigurado,Roteador desconfigurado,Roteador desconfigurado,Falta de pagamento da mensalidade,500,450,400,300,Indicação,Valor da mensalidade adequado,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),250,300,300,300
Cidade,Ubá,Cabo de internet arrebentado,Roteador desconfigurado,Falta de energia no local,Falta de energia no local,400,450,400,450,Publicidade (Panfletos / Redes Sociais),Promoção,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,300,400,400,400
Área Rural,Rio Pomba,Cabo de internet arrebentado,Falta de energia no local,Falta de pagamento da mensalidade,Roteador desconfigurado,500,450,300,450,Promoção,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),400,350,300,400
Cidade,Rio Pomba,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,500,500,550,500,Valor da mensalidade adequado,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Promoção,250,350,400,400
Área Rural,Mercês,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,Cabo de internet arrebentado,400,400,450,550,Indicação,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,250,350,400,400
Cidade,Rio Pomba,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de energia no local,Falta de pagamento da mensalidade,400,400,300,500,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,400,450,300,350
Área Rural,Tabuleiro,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Cabo de internet arrebentado,Cabo de internet arrebentado,400,400,300,450,Promoção,Promoção,Valor da mensalidade adequado,Promoção,450,350,250,350
Cidade,Silveirânia,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,400,400,450,550,Indicação,Promoção,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),300,300,300,350
Cidade,Ubá,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,450,500,300,300,Promoção,Promoção,Promoção,Valor da mensalidade adequado,250,350,300,350
Cidade,Mercês,Falta de pagamento da mensalidade,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,400,400,450,550,Promoção,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,300,400,500,300
Área Rural,Silveirânia,Falta de pagamento da mensalidade,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,400,400,450,550,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),250,350,400,350
Cidade,Mercês,Falta de energia no local,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,400,400,450,550,Indicação,Promoção,Valor da mensalidade adequado,Promoção,300,450,300,250
Área Rural,Tabuleiro,Cabo de internet arrebentado,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,400,400,450,550,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,300,350,250,250
Cidade,Rio Pomba,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,400,450,300,450,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),300,400,500,250
Área Rural,Silveirânia,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,500,500,550,500,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),300,400,500,300
Cidade,Ubá,Roteador desconfigurado,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Roteador desconfigurado,450,450,550,450,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),300,400,500,300
Cidade,Silveirânia,Falta de energia no local,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,400,400,450,550,Indicação,Indicação,Publicidade (Panfletos / Redes Sociais),Publicidade (Panfletos / Redes Sociais),400,400,300,250
Área Rural,Tabuleiro,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,Roteador desconfigurado,400,400,550,450,Promoção,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Promoção,400,400,500,300
Área Rural,Silveirânia,Cabo de internet arrebentado,Cabo de internet arrebentado,Cabo de internet arrebentado,Cabo de internet arrebentado,500,350,400,500,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,400,400,500,300
Cidade,Tabuleiro,Cabo de internet arrebentado,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,400,400,450,550,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,250,350,400,350
Cidade,Rio Pomba,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,500,400,550,450,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,250,300,500,300
Cidade,Silveirânia,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,400,400,450,550,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,250,300,250,250
Área Rural,Mercês,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,500,350,400,500,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,250,350,400,250
Cidade,Mercês,Roteador desconfigurado,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,450,450,550,450,Indicação,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),300,400,500,300
Área Rural,Ubá,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,400,400,450,550,Indicação,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,250,350,300,250
Cidade,Silveirânia,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,400,500,450,300,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,400,350,500,300
Área Rural,Rio Pomba,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,400,400,450,550,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,250,350,400,250
Cidade,Ubá,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,400,450,300,450,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,Promoção,400,450,250,350
Cidade,Ubá,Cabo de internet arrebentado,Falta de energia no local,Falta de pagamento da mensalidade,Roteador desconfigurado,550,400,300,550,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Promoção,Indicação,400,350,500,250
Área Rural,Ubá,Falta de energia no local,Falta de pagamento da mensalidade,Falta de energia no local,Falta de energia no local,400,400,450,300,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,400,450,500,350
Cidade,Mercês,Falta de pagamento da mensalidade,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,500,500,300,450,Valor da mensalidade adequado,Promoção,Promoção,Indicação,300,350,400,250
Cidade,Silveirânia,Cabo de internet arrebentado,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,500,400,550,550,Promoção,Publicidade (Panfletos / Redes Sociais),Promoção,Valor da mensalidade adequado,250,400,400,400
Área Rural,Rio Pomba,Falta de pagamento da mensalidade,Roteador desconfigurado,Roteador desconfigurado,Falta de energia no local,450,350,450,500,Valor da mensalidade adequado,Valor da mensalidade adequado,Promoção,Indicação,250,450,500,350
Cidade,Tabuleiro,Roteador desconfigurado,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de energia no local,550,450,450,550,Valor da mensalidade adequado,Indicação,Indicação,Indicação,250,300,300,350
Área Rural,Ubá,Roteador desconfigurado,Roteador desconfigurado,Roteador desconfigurado,Falta de pagamento da mensalidade,450,450,550,550,Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,Indicação,450,450,500,400
Área Rural,Ubá,Falta de energia no local,Falta de energia no local,Cabo de internet arrebentado,Falta de energia no local,400,400,450,500,Valor da mensalidade adequado,Valor da mensalidade adequado,Promoção,Valor da mensalidade adequado,250,350,300,350
Cidade,Mercês,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,Falta de energia no local,400,400,300,500,Indicação,Valor da mensalidade adequado,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),300,400,500,350
Cidade,Rio Pomba,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Cabo de internet arrebentado,450,500,400,300,Valor da mensalidade adequado,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,250,350,400,400
Cidade,Rio Pomba,Falta de energia no local,Roteador desconfigurado,Falta de energia no local,Falta de pagamento da mensalidade,450,450,300,550,Valor da mensalidade adequado,Promoção,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,300,300,250,250
Cidade,Rio Pomba,Cabo de internet arrebentado,Roteador desconfigurado,Cabo de internet arrebentado,Roteador desconfigurado,400,350,300,300,Valor da mensalidade adequado,Indicação,Valor da mensalidade adequado,Valor da mensalidade adequado,250,300,250,250
Cidade,Juiz de Fora,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,400,350,300,450,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,250,350,250,250
Cidade,Ubá,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,400,350,300,300,Promoção,Indicação,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),250,300,250,250
Cidade,Tabuleiro,Cabo de internet arrebentado,Cabo de internet arrebentado,Cabo de internet arrebentado,Cabo de internet arrebentado,400,450,450,500,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),450,400,500,300
Cidade,Tabuleiro,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,Falta de energia no local,450,400,450,300,Valor da mensalidade adequado,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,300,400,400,250
Área Rural,Juiz de Fora,Cabo de internet arrebentado,Cabo de internet arrebentado,Roteador desconfigurado,Roteador desconfigurado,450,400,450,500,Valor da mensalidade adequado,Promoção,Indicação,Promoção,400,450,400,350
Cidade,Mercês,Falta de energia no local,Falta de pagamento da mensalidade,Falta de energia no local,Falta de pagamento da mensalidade,500,400,450,500,Valor da mensalidade adequado,Indicação,Promoção,Publicidade (Panfletos / Redes Sociais),400,350,300,350
Área Rural,Juiz de Fora,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,500,450,450,500,Indicação,Promoção,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),400,450,250,400
Área Rural,Pirauba,Falta de pagamento da mensalidade,Roteador desconfigurado,Cabo de internet arrebentado,Falta de energia no local,500,350,300,300,Promoção,Promoção,Valor da mensalidade adequado,Indicação,250,300,250,250
Cidade,Ubá,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,400,400,300,550,Promoção,Indicação,Publicidade (Panfletos / Redes Sociais),Promoção,250,300,250,250
Área Rural,Tocantins,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de energia no local,550,500,550,500,Indicação,Valor da mensalidade adequado,Indicação,Promoção,450,350,250,400
Cidade,Ubá,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,Roteador desconfigurado,400,400,400,500,Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,Indicação,250,300,250,300
Área Rural,Silveirânia,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,550,450,400,300,Indicação,Publicidade (Panfletos / Redes Sociais),Promoção,Publicidade (Panfletos / Redes Sociais),250,300,250,250
Cidade,Juiz de Fora,Falta de energia no local,Falta de energia no local,Falta de energia no local,Falta de energia no local,450,450,450,500,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,300,350,400,250
Área Rural,Juiz de Fora,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de pagamento da mensalidade,400,350,400,550,Valor da mensalidade adequado,Indicação,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),450,300,250,250
Cidade,Tocantins,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,550,500,550,550,Valor da mensalidade adequado,Indicação,Promoção,Indicação,450,450,500,400
Área Rural,Pirauba,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Roteador desconfigurado,500,350,400,450,Publicidade (Panfletos / Redes Sociais),Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,400,400,300,250
Cidade,Rio Pomba,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,400,350,300,300,Promoção,Promoção,Valor da mensalidade adequado,Promoção,250,300,300,250
Cidade,Tabuleiro,Cabo de internet arrebentado,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,450,450,550,300,Indicação,Promoção,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,250,300,400,350
Cidade,Rio Pomba,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Falta de energia no local,450,400,300,500,Promoção,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),250,300,400,350
Área Rural,Mercês,Falta de pagamento da mensalidade,Roteador desconfigurado,Cabo de internet arrebentado,Roteador desconfigurado,400,450,550,550,Indicação,Valor da mensalidade adequado,Promoção,Publicidade (Panfletos / Redes Sociais),250,300,400,400
Cidade,Ubá,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,450,350,400,450,Promoção,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,250,300,250,300
Cidade,Juiz de Fora,Falta de pagamento da mensalidade,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,400,400,300,450,Indicação,Promoção,Promoção,Publicidade (Panfletos / Redes Sociais),300,350,300,300
