QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE,LOCALIDADE_Cidade,LOCALIDADE_Área Rural,CIDADE_Juiz de Fora,CIDADE_Mercês,CIDADE_Rio Pomba,CIDADE_Silveirânia,CIDADE_Tabuleiro,CIDADE_Ubá,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Roteador desconfigurado,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Valor da mensalidade adequado,Outlier
1.0,0.6000000000000001,0.0,0.8,0.75,0.25,0.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0.25,0.0,0.6666666666666665,0.3999999999999999,0.75,1.0,0.6000000000000001,0.8333333333333333,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0.25,1.0000000000000002,0.0,0.1999999999999999,0.75,0.25,0.6000000000000001,0.5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0.5,0.0,0.6666666666666665,0.9999999999999998,0.0,0.25,0.8,0.8333333333333333,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0.0,0.4000000000000001,0.6666666666666665,0.9999999999999998,0.75,1.0,0.8,0.8333333333333333,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0.25,1.0000000000000002,0.6666666666666665,0.3999999999999999,0.5,0.25,0.8,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0.0,1.0000000000000002,1.0,0.1999999999999999,0.5,0.5,0.0,0.5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
0.0,0.4000000000000001,0.6666666666666665,0.9999999999999998,0.5,0.5,1.0,1.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0.0,0.4000000000000001,0.6666666666666665,0.9999999999999998,0.75,0.25,0.8,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0.25,0.6000000000000001,1.0,0.1999999999999999,0.5,0.0,0.6000000000000001,0.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
0.0,0.4000000000000001,0.0,0.1999999999999999,0.0,0.0,0.6000000000000001,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.25,0.6000000000000001,1.0,0.9999999999999998,0.0,0.25,0.8,0.8333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0.0,0.4000000000000001,0.6666666666666665,0.0,0.0,0.5,0.6000000000000001,0.8333333333333333,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0.25,0.4000000000000001,0.333333333333333,0.3999999999999999,0.0,1.0,0.8,0.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0.25,0.6000000000000001,0.0,0.1999999999999999,0.5,0.5,1.0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.25,1.0000000000000002,1.0,0.3999999999999999,1.0,1.0,0.8,0.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0.0,0.0,0.333333333333333,0.3999999999999999,0.5,0.0,0.6000000000000001,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
0.25,0.6000000000000001,1.0,0.9999999999999998,0.75,0.0,0.6000000000000001,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0.25,0.0,0.6666666666666665,0.9999999999999998,0.5,0.5,1.0,0.5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.25,0.0,0.333333333333333,0.3999999999999999,0.5,0.5,1.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0.0,0.4000000000000001,0.6666666666666665,0.0,0.5,0.5,0.0,0.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1.0,0.4000000000000001,0.6666666666666665,0.3999999999999999,0.75,1.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
0.25,0.6000000000000001,1.0,0.1999999999999999,0.5,0.0,0.6000000000000001,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0.5,0.0,0.333333333333333,0.3999999999999999,0.0,0.0,0.6000000000000001,1.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
0.25,0.6000000000000001,0.333333333333333,0.1999999999999999,0.0,0.25,0.8,0.5,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0.0,0.0,0.333333333333333,0.0,0.5,0.5,1.0,1.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0.0,0.6000000000000001,1.0,0.3999999999999999,0.5,0.5,1.0,0.5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0.0,0.6000000000000001,1.0,0.9999999999999998,0.75,1.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
0.5,0.6000000000000001,0.333333333333333,0.3999999999999999,0.0,0.5,1.0,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0.0,0.4000000000000001,0.6666666666666665,0.9999999999999998,0.0,0.25,0.8,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
0.25,1.0000000000000002,0.6666666666666665,0.3999999999999999,0.0,0.0,0.6000000000000001,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
